Año,Índice,Media,Std,Min,Max
2019,NDVI,0.35899046,0.20588836,-0.5681234,0.9373849
2019,NDBI,0.059546012,0.13751844,-0.8256061,0.6978281
2019,NDWI,-0.4320423,0.16518992,-0.88829213,0.72602737
2019,BSI,0.107898645,0.123970635,-0.64971393,0.6043956
2020,NDVI,0.29863098,0.18111977,-0.5313532,0.9978082
2020,NDBI,0.11148751,0.1322068,-0.7679252,0.73353523
2020,NDWI,-0.40353915,0.15605347,-0.9971202,0.73101044
2020,BSI,0.16180941,0.11402889,-0.6561806,0.7160702
2021,NDVI,0.36018625,0.20471646,-0.4765771,0.9261399
2021,NDBI,0.041346695,0.13034548,-0.82106304,0.67105263
2021,NDWI,-0.425226,0.1659159,-0.86270344,0.70160717
2021,BSI,0.089984246,0.11893288,-0.6729148,0.54102343
2022,NDVI,0.31057346,0.18131463,-0.47909024,0.93333334
2022,NDBI,0.10275827,0.12898304,-0.80083305,0.7292506
2022,NDWI,-0.40090817,0.14960359,-0.9047619,0.6980568
2022,BSI,0.14419305,0.109789,-0.67522484,0.63532764
2023,NDVI,0.34950042,0.19752903,-0.4520646,0.89892375
2023,NDBI,0.047393844,0.13018338,-0.7547276,0.6070455
2023,NDWI,-0.42042327,0.1588347,-0.8281092,0.58767265
2023,BSI,0.09330613,0.11715871,-0.6126324,0.4922976
2024,NDVI,0.3389067,0.20696123,-0.49056605,0.93185896
2024,NDBI,0.07456619,0.15699683,-0.77890724,0.71397924
2024,NDWI,-0.41958797,0.16849187,-0.8922509,0.665962
2024,BSI,0.11636814,0.13511185,-0.6875279,0.6335236
2025,NDVI,0.35427362,0.2066515,-0.48275864,0.96350366
2025,NDBI,0.03098425,0.13578872,-0.7787419,0.7915811
2025,NDWI,-0.43622196,0.17000133,-0.9215372,0.6749751
2025,BSI,0.08900859,0.12567294,-0.6885856,0.76113915
